iter	Passed	Remaining
583	2290	1012
584	2294	1008
585	2298	1003
586	2301	999
587	2306	996
588	2309	992
589	2313	988
590	2316	984
591	2320	980
592	2324	976
593	2327	971
594	2331	967
595	2334	963
596	2338	959
597	2342	955
598	2347	952
599	2351	948
600	2355	944
601	2359	940
602	2363	936
603	2366	932
604	2370	928
605	2374	924
606	2377	920
607	2381	916
608	2384	912
609	2388	908
610	2391	904
611	2395	900
612	2398	895
613	2402	892
614	2406	888
615	2409	884
616	2413	880
617	2417	876
618	2421	872
619	2424	868
620	2428	864
621	2432	860
622	2435	856
623	2439	852
624	2442	848
625	2445	843
626	2449	839
627	2452	835
628	2455	831
629	2459	827
630	2463	823
631	2466	819
632	2470	815
633	2474	811
634	2477	807
635	2481	803
636	2485	799
637	2489	796
638	2493	792
639	2497	788
640	2502	784
641	2506	780
642	2510	776
643	2514	772
644	2517	768
645	2521	765
646	2525	761
647	2529	757
648	2532	753
649	2536	749
650	2541	745
651	2545	741
652	2549	737
653	2552	733
654	2556	729
655	2560	726
656	2565	722
657	2568	718
658	2572	714
659	2576	710
660	2579	706
661	2582	702
662	2586	698
663	2589	694
664	2593	690
665	2597	686
666	2600	682
667	2604	678
668	2608	674
669	2611	670
670	2614	666
671	2618	662
672	2621	658
673	2625	654
674	2628	650
675	2631	646
676	2635	642
677	2638	638
678	2642	634
679	2645	630
680	2649	626
681	2652	622
682	2656	618
683	2659	614
684	2662	610
685	2666	606
686	2670	602
687	2673	598
688	2677	594
689	2680	590
690	2684	586
691	2687	582
692	2690	578
693	2694	574
694	2698	570
695	2701	566
696	2705	562
697	2709	558
698	2713	555
699	2716	551
700	2720	547
701	2724	543
702	2727	539
703	2731	535
704	2734	531
705	2738	527
706	2741	523
707	2745	519
708	2748	515
709	2751	511
710	2755	507
711	2759	503
712	2763	499
713	2766	495
714	2770	492
715	2774	488
716	2778	484
717	2781	480
718	2785	476
719	2788	472
720	2792	468
721	2796	464
722	2800	460
723	2804	457
724	2807	453
725	2811	449
726	2815	445
727	2818	441
728	2822	437
729	2826	433
730	2830	429
731	2833	425
732	2837	421
733	2840	417
734	2844	414
735	2847	410
736	2851	406
737	2854	402
738	2857	398
739	2861	394
740	2864	390
741	2867	386
742	2870	382
743	2874	378
744	2877	374
745	2881	370
746	2884	366
747	2887	362
748	2890	358
749	2893	354
750	2897	351
751	2901	347
752	2905	343
753	2909	339
754	2913	335
755	2916	331
756	2920	327
757	2923	323
758	2926	320
759	2930	316
760	2933	312
761	2937	308
762	2940	304
763	2943	300
764	2946	296
765	2949	292
766	2953	288
767	2956	284
768	2959	280
769	2962	276
770	2965	273
771	2968	269
772	2971	265
773	2974	261
774	2977	257
775	2980	253
776	2983	249
777	2986	245
778	2990	241
779	2993	237
780	3012	235
781	3016	231
782	3019	227
783	3022	223
784	3025	219
785	3028	215
786	3032	211
787	3035	208
788	3038	204
789	3042	200
790	3046	196
791	3050	192
792	3054	188
793	3058	184
794	3062	181
795	3065	177
796	3069	173
797	3073	169
798	3077	165
799	3081	161
800	3086	157
801	3089	154
802	3093	150
803	3097	146
804	3101	142
805	3104	138
806	3108	134
807	3112	130
808	3116	127
809	3119	123
810	3122	119
811	3126	115
812	3129	111
813	3133	107
814	3136	103
815	3140	100
816	3143	96
817	3147	92
818	3150	88
819	3153	84
820	3157	80
821	3161	76
822	3164	73
823	3167	69
824	3171	65
825	3175	61
826	3178	57
827	3181	53
828	3185	49
829	3189	46
830	3193	42
831	3197	38
832	3202	34
833	3205	30
834	3209	26
835	3212	23
836	3216	19
837	3220	15
838	3223	11
839	3227	7
840	3231	3
841	3234	0
