iter	MultiClass
210	0.7585513176
211	0.7583709848
212	0.7580378026
213	0.7578257811
214	0.7574113933
215	0.7572004786
216	0.7567322558
217	0.7563389475
218	0.75628212
219	0.7560397886
220	0.7558146603
221	0.7555421245
222	0.7554759221
223	0.7551702835
224	0.7550214795
225	0.7547333085
226	0.754337412
227	0.7540246368
228	0.75379595
229	0.7536248037
230	0.7534421876
231	0.7533426388
232	0.753196508
233	0.7530036846
234	0.7526450606
235	0.7523720885
236	0.7522221014
237	0.7519548249
238	0.7518054184
239	0.7517524222
240	0.7514837663
241	0.7514149583
242	0.7511463588
243	0.751047057
244	0.7509148922
245	0.7507796568
246	0.750698609
247	0.7505959834
248	0.7503217391
249	0.7499074183
250	0.7497830318
251	0.749748005
252	0.7496515677
253	0.7493237271
254	0.7492544009
255	0.7489853694
256	0.7487946926
257	0.7487035767
258	0.7485770219
259	0.7482342209
260	0.748101368
261	0.7479801831
262	0.7477253582
263	0.7476350955
264	0.7473926031
265	0.747144142
266	0.7469904135
267	0.7468672811
268	0.746687734
269	0.7466392065
270	0.7464295528
271	0.7461477671
272	0.7460387261
273	0.7456144731
274	0.7453623143
275	0.7452311522
276	0.7451446184
277	0.7449386375
278	0.7449034482
279	0.7448363614
280	0.7447757658
281	0.7447002193
282	0.744415997
283	0.7443173008
284	0.7441574064
285	0.7440856805
286	0.7438325568
287	0.7436791338
288	0.7435800731
289	0.7434590169
290	0.7433040492
291	0.7431736136
292	0.7430629146
293	0.7429991621
294	0.7427871955
295	0.7426918501
296	0.7425976512
297	0.7425393864
298	0.7424289642
299	0.7423385457
300	0.7421453727
301	0.7420245431
302	0.7419311006
303	0.7417711872
304	0.7416212558
305	0.7413917877
306	0.7413145408
307	0.7412191995
308	0.7411354803
309	0.7410308246
310	0.7408555848
311	0.7407739121
312	0.7404644987
313	0.7402737686
314	0.7401990837
315	0.7401126766
316	0.7399309018
317	0.7397818778
318	0.739644277
319	0.7394489269
320	0.7393488288
321	0.7392199631
322	0.7390990243
323	0.7388473044
324	0.7387551018
325	0.7386758158
326	0.7386577506
327	0.7384894614
328	0.7384377698
329	0.7382447109
330	0.7381962798
331	0.738031215
332	0.7378910833
333	0.7377043367
334	0.7376397124
335	0.7374266004
336	0.7373938799
337	0.7373420821
338	0.7372005981
339	0.7371164483
340	0.7370002366
341	0.7368449634
342	0.7366493249
343	0.7364540294
344	0.7363117752
345	0.7361076729
346	0.736028043
347	0.7359385774
348	0.7358484382
349	0.7357886112
350	0.7356795829
351	0.7356043228
352	0.7355539279
353	0.7353025423
354	0.735178098
355	0.7350814968
356	0.7349814606
357	0.7348847335
358	0.7348500982
359	0.7347744114
360	0.7347337449
361	0.7346176014
362	0.734528423
363	0.734415893
364	0.7342869146
365	0.7342133203
366	0.734143196
367	0.7341199787
368	0.7339195534
369	0.7338352181
370	0.7336294327
371	0.7335707541
372	0.7333838442
373	0.7332746112
374	0.7331788103
375	0.7330801284
376	0.7329920917
377	0.7329039187
378	0.7327593579
379	0.7327122926
380	0.7326105774
381	0.7324024238
382	0.7322955478
383	0.7322584809
384	0.7320783369
385	0.7320387439
386	0.7318436246
387	0.7317988685
388	0.7317236483
389	0.7315001613
390	0.7314520144
391	0.7314147329
392	0.7312746164
393	0.7312394681
394	0.7310606207
395	0.7309743092
396	0.7308527915
397	0.7307111783
398	0.7306899891
399	0.7306253755
400	0.7304796072
401	0.7304025601
402	0.7302838597
403	0.7301766827
404	0.7300649519
405	0.7299330824
406	0.7298254946
407	0.7296625478
408	0.7296129287
409	0.7294841375
410	0.7293451695
411	0.7292927047
412	0.7291437086
413	0.7290696587
414	0.7290012876
415	0.7289391189
416	0.728884162
417	0.728824421
418	0.7287361315
419	0.7287009734
420	0.7286444979
421	0.7285812197
422	0.7285093045
423	0.7284924968
424	0.7283916973
425	0.7283028253
426	0.7282657756
427	0.7282124258
428	0.7278960304
429	0.7278398875
430	0.7277894742
431	0.7277264869
432	0.7275764817
433	0.7275122495
434	0.7274498266
435	0.7273977411
436	0.7272751504
437	0.7270883721
438	0.7270636215
439	0.7269890732
440	0.7269419051
441	0.7269099799
442	0.7268900283
443	0.7268198174
444	0.7267871507
445	0.7267284022
446	0.7265151259
447	0.7264673435
448	0.7264287544
449	0.7263128414
450	0.7262986954
451	0.7262431584
452	0.7262277545
453	0.7261842796
454	0.7260502991
455	0.726039548
456	0.7259804527
457	0.7259597997
458	0.7259031859
459	0.7258529022
460	0.7258088782
461	0.7257502726
462	0.7257217541
463	0.7256865213
464	0.7256496516
465	0.725581644
466	0.7255353116
467	0.7254161142
468	0.7253180833
469	0.7252922643
470	0.7252513979
471	0.7252023543
472	0.7251008378
473	0.7250101318
474	0.7249637767
475	0.7249191052
476	0.7248944285
477	0.7248414227
478	0.7247684669
479	0.7246905081
480	0.7246332133
481	0.7245998145
482	0.7245624815
483	0.7244752279
484	0.7244031465
485	0.7243733223
486	0.7242819675
487	0.7242164672
488	0.7241456943
489	0.7240955504
490	0.7240618634
491	0.7240239591
492	0.7240104546
493	0.7239240356
494	0.7238962267
495	0.723862139
496	0.7237725931
497	0.7237630451
498	0.7237411921
499	0.7236965026
500	0.7235876154
501	0.7235756101
502	0.723528483
503	0.7234464886
504	0.723335721
505	0.7232679891
506	0.7232565545
507	0.7232080848
508	0.7231898504
509	0.7231584436
510	0.7231346765
511	0.7231201865
512	0.7230815856
513	0.7230581032
514	0.7230128083
515	0.7229987241
516	0.7229832264
517	0.7229600853
518	0.7229368446
519	0.7229187352
520	0.7228582437
521	0.7228316726
522	0.7227998617
523	0.7227796811
524	0.7227059872
525	0.7226113062
526	0.7225806494
527	0.7225472712
528	0.7225315665
529	0.7225088467
530	0.7224550122
531	0.7224359711
532	0.7223929674
533	0.722351779
534	0.7222497068
535	0.7222338922
536	0.7221666184
537	0.7221572527
538	0.7221139156
539	0.7221029815
540	0.7220683572
541	0.7220552892
542	0.7220018405
543	0.721985784
544	0.7219293378
545	0.7219007319
546	0.7218225911
547	0.7217428578
548	0.7216625163
549	0.7215825609
550	0.7215766913
551	0.7215370153
552	0.7215082956
553	0.7214161923
554	0.7213861976
555	0.7213574889
556	0.7212661592
557	0.7212157789
558	0.721201994
559	0.7211101601
560	0.7210805097
561	0.7210532251
562	0.7209759659
563	0.7209577567
564	0.7209108206
565	0.7208864723
566	0.7208421159
567	0.7207928012
568	0.7207663722
569	0.720666582
570	0.7206283433
571	0.7206009657
572	0.7205693373
573	0.7205510868
574	0.72047211
575	0.7204405036
576	0.7203408963
577	0.7202263704
578	0.7201922339
579	0.7201090364
580	0.7200874046
581	0.7200608913
582	0.720048533
583	0.720028926
584	0.7200175575
585	0.7199834224
586	0.7199762412
587	0.7199730592
588	0.7199459442
589	0.7199302697
590	0.7198593247
591	0.719839755
592	0.719821346
593	0.7197897413
594	0.7197747453
595	0.7197460001
596	0.7197280555
597	0.7197195972
598	0.7196941747
599	0.7195863175
600	0.719559818
601	0.7195434273
602	0.7195100276
603	0.7194770544
604	0.7194437829
605	0.7194314462
606	0.7193985577
607	0.7193782983
608	0.719369229
609	0.7193587761
610	0.7193513837
611	0.7193355805
612	0.7192772317
613	0.7192484516
614	0.7192295088
615	0.7192198135
616	0.719149498
617	0.7191423789
618	0.7190695938
619	0.7190499063
620	0.7189581118
621	0.718926598
622	0.7189103488
623	0.7188713147
624	0.7187612012
625	0.7187394888
626	0.7187287138
627	0.7186935902
628	0.7186600666
629	0.7186415261
630	0.7186310832
631	0.7186080565
632	0.7185906728
633	0.7185438263
634	0.7185304547
635	0.7185044577
636	0.7184999687
637	0.7184684782
638	0.718449052
639	0.7183449578
640	0.7183241611
641	0.7183081538
642	0.7182336658
643	0.7182281191
644	0.7181847165
645	0.7181353106
646	0.7180957276
647	0.7180442785
648	0.7179969443
649	0.7179797914
650	0.7179388816
651	0.7179196869
652	0.7179085946
653	0.7178478005
654	0.7178329052
655	0.7177896376
656	0.7177433553
657	0.7177383882
658	0.7177319631
659	0.7177016408
660	0.7176790263
661	0.7176736476
662	0.7176170356
663	0.7176112143
664	0.7175868753
665	0.717567624
666	0.7175464986
667	0.7175365441
668	0.7175319079
669	0.7174825591
670	0.7174625776
671	0.7174522286
672	0.7174334266
673	0.7174132173
674	0.7173855803
675	0.7173790698
676	0.7172309291
677	0.7171658735
678	0.71713876
679	0.7171286772
680	0.7170955256
681	0.7170387342
682	0.7169945192
683	0.7169311881
684	0.7168754148
685	0.716828444
686	0.7168117693
687	0.7167827406
688	0.7167490946
689	0.7167100939
690	0.7166927524
691	0.7166685642
692	0.7166475683
693	0.7166426063
694	0.716618798
695	0.7165784844
696	0.7165543924
697	0.7165258822
698	0.7165089377
699	0.7165021895
700	0.7164935847
701	0.71648999
702	0.7164745417
703	0.7164654131
704	0.7164194927
705	0.7163922313
706	0.7163702187
707	0.7163409727
708	0.716334795
709	0.7163253078
710	0.7162975712
711	0.7162793394
712	0.7161715695
713	0.7161627184
714	0.7161252378
715	0.716093459
716	0.7160867205
717	0.7160716444
718	0.7160653033
719	0.715991374
720	0.7159496348
721	0.7159225023
722	0.7158927256
723	0.7158530088
724	0.7157328254
725	0.7157216755
726	0.7157119005
727	0.7156969019
728	0.7156856313
729	0.7156634373
730	0.7156527638
731	0.7155866177
732	0.7155791452
733	0.7155600061
734	0.7155408781
735	0.7155358365
736	0.7155309049
737	0.7155240569
738	0.7154975291
739	0.7154760123
740	0.7154263545
741	0.7153682528
742	0.7153453206
743	0.7152758826
744	0.7152625
745	0.7152439507
746	0.7152368908
747	0.7152288212
748	0.7152178174
749	0.7152088289
750	0.7151823181
751	0.7151734056
752	0.7151544237
753	0.7151388752
754	0.7151295447
755	0.7151142266
756	0.7151011669
757	0.7150935693
758	0.7150708725
759	0.7150545214
760	0.7150033415
761	0.7149882481
762	0.7149790198
763	0.7149757263
764	0.7149705883
765	0.7149458978
766	0.7149008804
767	0.7148779107
768	0.7148286766
769	0.7148039779
770	0.7147834225
771	0.7147450783
772	0.7147116375
773	0.7147030597
774	0.7146961217
775	0.714688069
776	0.7146489098
777	0.7146335971
778	0.7146013741
779	0.7145786372
780	0.7145588398
781	0.7144948733
782	0.7144800249
783	0.7144730141
784	0.7144651527
785	0.7144549908
786	0.7144431333
787	0.7144336751
788	0.7144239633
789	0.714422525
790	0.7144002418
791	0.7143600607
792	0.7143523599
793	0.7143469399
794	0.714341074
795	0.7143005071
796	0.7142873636
797	0.7142749465
798	0.7142656474
799	0.7142521806
800	0.7142094471
801	0.7142077318
802	0.7141957698
803	0.7141540671
804	0.7141438733
805	0.7141230508
806	0.7141191876
807	0.7141086509
808	0.7141005774
809	0.7140968609
810	0.7140946291
811	0.7140843074
812	0.7140813315
813	0.7140773915
814	0.7140661586
815	0.714031786
816	0.7140281243
817	0.7139664519
818	0.7139506553
819	0.7139459594
820	0.713935456
821	0.7139163185
822	0.7138919039
823	0.7138878211
824	0.7138797742
825	0.7138612126
826	0.7138544158
827	0.7138325142
828	0.7138269264
829	0.7138238177
830	0.7138174201
831	0.7137979496
832	0.7137856186
833	0.7137402877
834	0.7137245042
835	0.7137103256
836	0.7136891206
837	0.7136497126
838	0.7136227057
839	0.7136000344
840	0.7135933255
841	0.7135897646
